GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0
0	1287.6104016058378	96.37790482462259	355.4323282065472	88.68984611297644	527.7158071331811	1084.7610480372277	1229.448788745044	138.37055990047628	1496.0905774336065	841.1566739362441
9	1135.872313155476	1364.4456789445373	5562.554361465737	728.6892183166049	4601.129050609678	1641.6413897693922	1505.307361928575	2004.3478829058893	760.1648103617168	1307.3283980751294
21	192.77114987439248	5546.0148698876	4786.178293591994	5546.184194968941	3927.0456348717894	654.573304533116	372.4788502962334	5533.048733461089	46.4805918789823	1613.8394203753821
1	39.75975892065867	205.21077849769776	182.77663032264405	244.4591877356753	220.49733424755402	257.2258881865124	310.83436789438366	95.88166465721854	321.3692107749975	73.95418339746547
11	7359.7800455983215	3173.388500028421	4194.1928237739885	584.9033715684028	190.31203530963387	1350.1567451237986	105.10033987419625	3707.99075151746	759.3217303452014	4112.122811841771
23	2919.5757856087525	283.4200241906919	731.5948344705183	13.491308166021785	27.83920853060578	16.906607720468777	3.202854108463485	1476.2624160600476	1.4679833413908194	1893.3273130607133
2	3773.479310817867	2483.1531974237714	2741.884035137665	1489.5345929122752	885.2490309677877	2154.97980283037	1021.507137484568	1667.4855783718135	2577.4622459117973	1696.3828780855943
10	37.05884082063446	1544.2209199815964	1272.8803053175077	4015.2524093844754	6298.984353171253	2278.3664669440846	5295.831559366263	3109.62808073012	1212.211262506906	3182.957648593392
3	11830.42339374032	14086.63263113471	11711.662585293721	12012.77806276986	1282.8444085915778	1199.9556781707413	1104.8984519601918	1509.0463819177683	2538.389343264294	2133.256828714619
7	474.53142347551875	207.54365761202303	535.7534462369609	414.35875986398855	5028.082284143804	4981.838553925703	5074.196954003872	5003.096145971018	4326.152834587217	4533.057342386033
18	891.0344880573418	345.3907141786657	882.2518201806878	777.3673208260833	6689.928470717664	6734.440649583886	6727.918293750075	6623.783246991352	6230.605428409432	6269.32813538006
24	9.132696311731905	2.8905250808582923	10.60076975961186	6.9711275288531045	1864.2039553534376	1866.8209914594283	1867.3188028031516	1854.3612288537431	1753.214106037985	1786.459086160627
4	59.83195938388595	139.07076998914812	3.7955087259539884	166.74892421959396	28.845553696223735	67.56643992146994	71.51746605926105	119.05406764716247	75.53442957415017	115.43367442386239
8	4364.23913891994	304.81805094090697	5713.795403008381	64.77244406208925	5562.5446565959255	3357.972114788264	3301.5658166176813	680.7344166612672	2498.4260362097625	964.0836533042768
5	277.71625977951646	57.92859249799929	592.5161290332445	707.1950616947521	1027.077260248183	594.2449318696708	832.9445153746905	450.73319221242696	684.449943026502	354.9985495448372
13	4.318848731210289	9.973314618560487	85.33259439583824	304.9729863627084	353.58887013095335	245.05676937044478	322.14883005891824	74.16081139441813	287.2753223316903	42.5248353504874
6	420.65267763701667	358.08459453920284	739.6181511558462	710.8306115865777	83.87583340061354	182.98001416247533	704.9848817183597	301.49060568501045	0.28059926460519874	76.91937772129403
12	642.9572937553082	829.6337864930381	105.86284662557786	144.82446954877403	1347.9336247686715	1202.1832823243692	126.32246825148854	896.1343051051443	1379.0102064604716	1351.7731586532323
14	3793.6662394652744	3813.3330909377364	3788.5969878047254	3802.220394603988	45.44829696465909	40.74214546742323	29.43375682675686	46.84472835968144	272.6293443468923	111.6660471294048
22	13329.431505556693	64.32567649802061	16859.923660851135	1.8502919468704162	16700.736912243534	12012.491504232285	10506.676202003957	470.3862879128701	7453.196493160632	1067.7735262629365
19	1675.3030860812928	1055.0474611242748	2246.8602407773997	2246.114860090279	19.76572156395839	160.12821519234163	2246.6203584555556	634.3934965195654	4.5175270177704564E-4	18.108829991589285
15	1675.859024805089	1648.6825117578508	570.8110855468249	1111.6771614906372	2708.945239178837	348.16131382819134	1690.6730100005911	612.071568540194	452.606373714301	1544.355953842098
17	2280.5289725748567	2362.690803902378	5740.306825669346	4369.986006372951	314.31216505192583	5971.864829288638	2424.3566588540575	5696.457570997462	5797.822318039305	2544.254760543711
16	1510.0324396675633	1091.2913441650867	1086.0068882179912	1842.2845193976132	902.5532959447205	1402.349533780614	826.1147780624954	1614.6709542031372	52.94522236382313	1558.6942845576061
20	1540.701523835147	2302.1042088209656	141.96756044180935	142.63835977646102	3863.107822519337	44.08289367191324	3336.464047367286	36.52707953243385	285.67944346004566	1089.178089075357
